"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"David Peralta","Diamondbacks","146","614","30","75","87","4","7.8 %","20.2 %",".223",".328",".293",".352",".516",".368","130","0.3","22.8","-4.9","3.8","2136"
"Ronald Acuna Jr.","Braves","111","487","26","78","64","16","9.2 %","25.3 %",".259",".352",".293",".366",".552",".388","143","2.8","28.4","-7.8","3.7","18401"
"Juan Soto","Nationals","116","494","22","77","70","5","16.0 %","20.0 %",".225",".338",".292",".406",".517",".392","146","2.0","29.5","-9.3","3.7","20123"
"Starling Marte","Pirates","145","606","20","81","72","33","5.8 %","18.0 %",".182",".312",".277",".327",".460",".337","113","2.1","11.4","5.2","3.7","9241"
"Ben Zobrist","Cubs","139","520","9","67","58","3","10.6 %","11.5 %",".134",".331",".305",".378",".440",".355","123","0.5","14.9","4.0","3.6","7435"
"Cody Bellinger","Dodgers","162","632","25","84","76","14","10.9 %","23.9 %",".210",".313",".260",".343",".470",".345","120","4.1","19.8","-4.5","3.6","15998"
"Harrison Bader","Cardinals","138","427","12","61","37","15","7.3 %","29.3 %",".158",".358",".264",".334",".422",".326","106","7.6","10.6","10.2","3.5","18030"
"Michael Brantley","Indians","143","631","17","89","76","12","7.6 %","9.5 %",".160",".319",".309",".364",".468",".359","124","1.4","19.4","-6.1","3.5","4106"
"Bryce Harper","Nationals","159","695","34","103","100","13","18.7 %","24.3 %",".247",".289",".249",".393",".496",".376","135","0.4","29.9","-18.1","3.5","11579"
"Brian Anderson","Marlins","156","670","11","87","65","2","9.3 %","19.3 %",".127",".332",".273",".357",".400",".333","113","-0.6","10.1","2.1","3.4","18289"
"Mallex Smith","Rays","141","544","2","65","40","40","8.6 %","18.0 %",".110",".366",".296",".367",".406",".339","117","6.6","17.9","-2.5","3.4","13608"
"Eddie Rosario","Twins","138","592","24","87","77","8","5.1 %","17.6 %",".191",".316",".288",".323",".479",".340","113","7.7","16.8","-3.7","3.4","12155"
"Enrique Hernandez","Dodgers","145","462","21","67","52","3","10.8 %","16.9 %",".214",".266",".256",".336",".470",".342","118","3.8","14.1","2.9","3.2","10472"
"Kyle Schwarber","Cubs","137","510","26","64","61","4","15.3 %","27.5 %",".229",".288",".238",".356",".467",".343","115","1.1","10.3","4.3","3.2","16478"
"Justin Upton","Angels","145","613","30","80","85","8","10.4 %","28.7 %",".206",".321",".257",".344",".463",".348","124","-0.1","17.3","-7.2","3.1","5222"
"Chris Taylor","Dodgers","155","604","17","85","63","9","9.1 %","29.5 %",".190",".345",".254",".331",".444",".335","113","4.4","14.2","-3.2","3.1","13757"
"Nicholas Castellanos","Tigers","157","678","23","88","89","2","7.2 %","22.3 %",".202",".361",".298",".354",".500",".363","130","3.2","27.8","-20.7","3.0","11737"
"Stephen Piscotty","Athletics","151","605","27","78","88","2","6.9 %","18.8 %",".223",".290",".267",".331",".491",".351","125","-1.2","16.6","-7.2","3.0","13367"
"Michael Conforto","Mets","153","638","28","78","82","3","13.2 %","24.9 %",".204",".289",".243",".350",".448",".342","120","0.1","15.8","-6.7","3.0","16376"
"George Springer","Astros","140","620","22","102","71","6","10.3 %","19.7 %",".169",".303",".265",".346",".434",".340","119","-0.9","13.0","-4.8","2.9","12856"
"Ender Inciarte","Braves","156","660","10","83","61","28","7.4 %","13.0 %",".116",".293",".265",".325",".380",".308","90","6.1","-1.8","9.5","2.9","4922"
"Rhys Hoskins","Phillies","153","660","34","89","96","5","13.2 %","22.7 %",".251",".272",".246",".354",".496",".363","129","2.1","25.4","-18.1","2.9","16472"
"Jackie Bradley Jr.","Red Sox","144","535","13","76","59","17","8.6 %","25.6 %",".169",".299",".234",".314",".403",".310","90","5.7","-0.6","10.1","2.8","12984"
"Joey Gallo","Rangers","148","577","40","82","92","3","12.8 %","35.9 %",".292",".249",".206",".312",".498",".343","110","2.8","9.5","-1.5","2.8","14128"
"Charlie Blackmon","Rockies","156","696","29","119","70","12","8.5 %","19.3 %",".211",".329",".291",".358",".502",".368","116","1.4","15.2","-10.1","2.8","7859"
"Joc Pederson","Dodgers","148","443","25","65","56","1","9.0 %","19.2 %",".273",".253",".248",".321",".522",".354","126","1.4","15.6","-3.0","2.7","11899"
"Corey Dickerson","Pirates","135","533","13","65","55","8","3.9 %","15.0 %",".175",".333",".300",".330",".474",".341","115","-3.1","6.7","3.0","2.7","10762"
"Marcell Ozuna","Cardinals","148","628","23","69","88","3","6.1 %","17.5 %",".153",".309",".280",".325",".433",".327","106","4.4","8.9","-2.6","2.7","10324"
"Andrew McCutchen","- - -","155","682","20","83","65","14","13.9 %","21.3 %",".169",".304",".255",".368",".424",".347","120","-5.0","11.7","-7.9","2.6","9847"
"Max Kepler","Twins","156","611","20","80","58","4","11.6 %","15.7 %",".184",".236",".224",".319",".408",".316","97","0.8","-1.5","6.6","2.6","12144"
"Nick Markakis","Braves","162","705","14","78","93","1","10.2 %","11.3 %",".143",".318",".297",".366",".440",".345","114","-3.4","9.0","-6.4","2.6","5930"
"Gregory Polanco","Pirates","130","535","23","75","81","12","11.4 %","21.9 %",".245",".287",".254",".340",".499",".353","123","-1.0","14.3","-6.6","2.5","12907"
"A.J. Pollock","Diamondbacks","113","460","21","61","65","13","6.7 %","21.7 %",".228",".284",".257",".316",".484",".338","110","3.9","9.3","0.9","2.5","9256"
"Brett Gardner","Yankees","140","609","12","95","45","16","10.7 %","17.6 %",".132",".272",".236",".322",".368",".305","90","8.9","1.5","2.5","2.5","9927"
"Leonys Martin","- - -","84","353","11","48","33","7","8.5 %","21.8 %",".170",".302",".255",".323",".425",".323","103","1.0","2.2","10.0","2.5","11846"
"Shin-Soo Choo","Rangers","146","665","21","83","62","6","13.8 %","23.5 %",".170",".330",".264",".377",".434",".355","118","0.4","14.8","-13.6","2.4","3174"
"Jose Martinez","Cardinals","152","590","17","64","83","0","8.3 %","17.6 %",".152",".351",".305",".364",".457",".356","125","-1.6","16.6","-12.6","2.3","7996"
"Ramon Laureano","Athletics","48","176","5","27","19","7","9.1 %","28.4 %",".186",".388",".288",".358",".474",".357","129","4.1","10.2","4.4","2.1","17128"
"Randal Grichuk","Blue Jays","124","462","25","60","61","3","5.8 %","26.4 %",".257",".282",".245",".301",".502",".340","115","-0.4","8.0","-3.3","2.1","10243"
"Jason Heyward","Cubs","127","489","8","67","57","1","8.6 %","12.3 %",".125",".297",".270",".335",".395",".319","99","4.3","3.7","0.7","2.0","4940"
"Kevin Pillar","Blue Jays","142","542","15","65","59","14","3.3 %","18.1 %",".174",".281",".252",".282",".426",".302","89","4.5","-2.5","4.3","2.0","12434"
"Mark Canha","Athletics","122","411","17","60","52","1","8.3 %","21.4 %",".200",".282",".249",".328",".449",".334","113","-0.5","6.0","-0.1","2.0","11445"
"Adam Eaton","Nationals","95","370","5","55","33","9","10.3 %","17.3 %",".110",".364",".301",".394",".411",".358","123","1.2","11.5","-4.8","1.9","11205"
"Adam Frazier","Pirates","113","352","10","52","35","1","8.2 %","15.1 %",".179",".305",".277",".342",".456",".343","116","0.2","7.2","0.0","1.9","15223"
"Yasiel Puig","Dodgers","125","444","23","60","63","15","8.1 %","19.6 %",".227",".286",".267",".327",".494",".349","123","0.1","12.4","-8.5","1.8","14225"
"Chad Pinder","Athletics","110","333","13","43","27","0","8.1 %","26.4 %",".178",".325",".258",".332",".436",".333","113","-0.1","5.0","1.4","1.8","15191"
"Carlos Gonzalez","Rockies","132","504","16","71","64","5","7.3 %","22.4 %",".190",".332",".276",".329",".467",".338","96","3.6","1.4","-0.5","1.7","7287"
"Alex Gordon","Royals","141","568","13","56","54","12","8.8 %","21.8 %",".125",".299",".245",".324",".370",".305","89","-0.1","-7.2","4.6","1.7","5209"
"Matt Kemp","Dodgers","146","506","21","62","85","0","7.1 %","22.7 %",".190",".339",".290",".338",".481",".348","122","-4.2","9.5","-9.6","1.6","5631"
"Kevin Kiermaier","Rays","88","367","7","44","29","10","6.8 %","24.8 %",".154",".275",".217",".282",".370",".282","78","1.9","-7.8","11.1","1.6","11038"
"Marwin Gonzalez","Astros","145","552","16","61","68","2","9.6 %","22.8 %",".162",".301",".247",".324",".409",".318","104","-2.7","-0.3","-2.5","1.6","5497"
"Wil Myers","Padres","83","343","11","39","39","13","8.7 %","27.4 %",".192",".327",".253",".318",".446",".328","107","3.7","6.8","-2.4","1.6","10047"
"Hunter Renfroe","Padres","117","441","26","53","68","2","6.8 %","24.7 %",".256",".271",".248",".302",".504",".338","114","-1.1","6.7","-5.4","1.6","15464"
"Denard Span","- - -","137","501","11","63","58","9","10.2 %","15.8 %",".158",".291",".261",".341",".419",".330","112","2.4","9.7","-11.5","1.5","8347"
"Ian Happ","Cubs","142","462","15","56","44","8","15.2 %","36.1 %",".176",".362",".233",".353",".408",".329","106","0.4","3.5","-4.0","1.5","17919"
"Billy Hamilton","Reds","153","556","4","74","29","34","8.3 %","23.7 %",".091",".309",".236",".299",".327",".277","69","8.4","-12.6","8.1","1.3","10199"
"Jake Cave","Twins","91","309","13","54","45","2","5.8 %","33.0 %",".208",".363",".265",".313",".473",".332","108","0.6","3.5","-0.8","1.3","14477"
"Ryan Braun","Brewers","125","447","20","59","64","11","7.6 %","19.0 %",".215",".274",".254",".313",".469",".330","105","0.1","2.7","-3.9","1.3","3410"
"Tyler O'Neill","Cardinals","61","142","9","29","23","2","4.9 %","40.1 %",".246",".364",".254",".303",".500",".340","114","2.2","4.7","3.6","1.3","15711"
"Nick Martini","Athletics","55","179","1","26","19","0","11.7 %","20.1 %",".118",".379",".296",".397",".414",".357","129","1.2","7.3","-0.8","1.3","12005"
"JaCoby Jones","Tigers","129","467","11","54","34","13","5.1 %","30.4 %",".156",".281",".207",".266",".364",".274","70","3.2","-13.8","10.4","1.2","14818"
"Franmil Reyes","Padres","87","285","16","36","31","0","8.4 %","28.1 %",".218",".345",".280",".340",".498",".360","129","-0.3","9.7","-7.2","1.2","14566"
"Scott Schebler","Reds","107","430","17","55","49","4","9.1 %","23.0 %",".184",".301",".255",".337",".439",".337","109","0.3","5.0","-7.5","1.1","12225"
"Josh Reddick","Astros","134","487","17","63","47","7","10.1 %","15.8 %",".157",".258",".242",".318",".400",".311","99","-0.1","-0.4","-4.6","1.1","3892"
"Keon Broxton","Brewers","51","89","4","15","11","5","12.4 %","31.5 %",".231",".217",".179",".281",".410",".299","84","0.8","-1.0","8.7","1.1","9253"
"Albert Almora Jr.","Cubs","152","479","5","62","41","1","5.0 %","17.3 %",".092",".337",".286",".323",".378",".305","89","-1.8","-8.1","3.4","1.1","14109"
"Nomar Mazara","Rangers","128","536","20","61","77","1","7.5 %","21.6 %",".178",".298",".258",".317",".436",".324","96","-1.0","-3.3","-4.3","1.0","14553"
"David Dahl","Rockies","77","271","16","31","48","5","7.0 %","25.1 %",".261",".311",".273",".325",".534",".357","109","0.1","3.3","-1.8","1.0","13744"
"Jake Marisnick","Astros","103","235","10","34","28","6","6.4 %","35.7 %",".188",".292",".211",".275",".399",".290","85","1.8","-2.5","4.3","1.0","11339"
"Travis Jankowski","Padres","117","387","4","45","17","24","9.6 %","18.9 %",".086",".319",".259",".332",".346",".303","91","2.6","-1.9","-0.8","1.0","13768"
"Jose Bautista","- - -","122","399","13","52","48","4","16.8 %","27.8 %",".175",".262",".203",".348",".378",".324","107","0.4","3.7","-6.8","1.0","1887"
"Charlie Culberson","Braves","113","322","12","47","45","4","6.5 %","26.4 %",".196",".340",".270",".326",".466",".335","108","0.6","3.7","-4.4","1.0","3298"
"Ben Gamel","Mariners","101","293","1","37","19","7","10.6 %","20.8 %",".097",".352",".272",".358",".370",".323","108","1.0","3.8","-4.1","1.0","12160"
"Jorge Soler","Royals","61","257","9","27","28","3","10.9 %","26.8 %",".202",".340",".265",".354",".466",".354","123","-2.6","4.6","-3.9","1.0","14221"
"Odubel Herrera","Phillies","148","597","22","64","71","5","6.4 %","20.4 %",".165",".290",".255",".310",".420",".315","97","1.7","-0.8","-9.0","0.9","11476"
"Yoenis Cespedes","Mets","38","157","9","20","29","3","8.3 %","31.8 %",".234",".333",".262",".325",".496",".345","122","2.6","6.8","-2.8","0.9","13110"
"Jesse Winker","Reds","89","334","7","38","43","0","14.7 %","13.8 %",".132",".336",".299",".405",".431",".366","128","-2.2","9.3","-11.0","0.9","13590"
"Eric Thames","Brewers","96","278","16","41","37","7","10.4 %","34.9 %",".259",".284",".219",".306",".478",".330","105","1.8","3.3","-3.4","0.9","3711"
"Michael A. Taylor","Nationals","134","385","6","46","28","24","7.5 %","30.1 %",".130",".320",".227",".287",".357",".280","71","5.4","-8.2","4.6","0.9","11489"
"Curtis Granderson","- - -","123","403","13","60","38","2","13.4 %","26.3 %",".190",".311",".242",".351",".431",".341","116","-2.6","5.0","-9.8","0.9","4747"
"Tony Kemp","Astros","97","295","6","37","30","9","10.8 %","14.9 %",".129",".296",".263",".351",".392",".327","110","-2.0","1.6","-3.0","0.9","14894"
"Brandon Lowe","Rays","43","148","6","16","25","2","10.8 %","25.7 %",".217",".279",".233",".324",".450",".334","113","0.4","2.8","0.5","0.8","18882"
"Jon Jay","- - -","143","586","3","74","40","4","5.6 %","16.2 %",".080",".319",".268",".330",".347",".301","86","-2.7","-12.5","1.3","0.8","5227"
"Derek Dietrich","Marlins","149","551","16","72","45","2","5.3 %","25.4 %",".156",".336",".265",".330",".421",".326","109","-0.3","5.5","-15.2","0.8","10542"
"Lonnie Chisenhall","Indians","29","95","1","11","9","1","8.4 %","12.6 %",".131",".366",".321",".394",".452",".366","129","0.8","4.1","0.3","0.8","7571"
"Domingo Santana","Brewers","85","235","5","21","20","1","8.5 %","32.8 %",".147",".386",".265",".328",".412",".319","97","0.1","-0.7","0.3","0.7","10348"
"Robbie Grossman","Twins","129","465","5","50","48","0","12.9 %","17.8 %",".111",".329",".273",".367",".384",".333","108","-4.8","-0.3","-8.0","0.7","5254"
"Steven Duggar","Giants","41","152","2","20","17","5","6.6 %","28.9 %",".135",".354",".255",".303",".390",".297","87","2.5","0.2","2.0","0.7","17719"
"Ryan LaMarre","- - -","76","180","2","15","18","2","5.6 %","29.4 %",".103",".389",".279",".322",".382",".306","91","-0.3","-2.2","3.0","0.7","10700"
"Daniel Palka","White Sox","124","449","27","56","67","2","6.7 %","34.1 %",".245",".308",".240",".294",".484",".329","109","-0.8","4.0","-12.1","0.7","14897"
